PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",35,1756240280355,1756240280481,d,68, rarely, physical-keyboard,33
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",36,1756240280458,1756240280554,e,69, rarely, physical-keyboard,34
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",37,1756240280643,1756240280710,e,69, rarely, physical-keyboard,35
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",38,1756240280735,1756240280803,p,80, rarely, physical-keyboard,36
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",39,1756240281263,1756240281321, ,32, rarely, physical-keyboard,-1
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",40,1756240281318,1756240281397,y,89, rarely, physical-keyboard,38
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",41,1756240281674,1756240281753,e,69, rarely, physical-keyboard,39
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",42,1756240281771,1756240281842,l,76, rarely, physical-keyboard,40
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",43,1756240281932,1756240282038,l,76, rarely, physical-keyboard,41
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",44,1756240281966,1756240282051,o,79, rarely, physical-keyboard,42
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",45,1756240282017,1756240282090,w,87, rarely, physical-keyboard,43
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",46,1756240282562,1756240282660,.,190, rarely, physical-keyboard,44
60f23a36acf5f6c70e990efd,prompt-to-image,0,5,5,"create an image that is vividly, deep yellow. amorphous blobs of liquid, suspended in the air. everything is almost golden yellow. abstract art. wallpaper. full hd. 4k.","[0,15];[16,44];[95,129];[131,145]","[46,93];[146,168];[145,146]",47,1756240282656,1756240282752, ,32, rarely, physical-keyboard,-1
