PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",65,1755621282005,1755621282073,r,82, weekly, physical-keyboard,47
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",66,1755621282181,1755621282244,e,69, weekly, physical-keyboard,48
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",67,1755621282353,1755621282437,s,83, weekly, physical-keyboard,49
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",68,1755621282521,1755621282601,",",188, weekly, physical-keyboard,50
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",69,1755621282635,1755621282771, ,32, weekly, physical-keyboard,51
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",70,1755621284071,1755621284188,w,87, weekly, physical-keyboard,52
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",71,1755621284796,1755621284881,i,73, weekly, physical-keyboard,53
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",72,1755621284937,1755621285025,t,84, weekly, physical-keyboard,54
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",73,1755621285058,1755621285162,h,72, weekly, physical-keyboard,55
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",74,1755621285178,1755621285290, ,32, weekly, physical-keyboard,56
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",75,1755621286062,1755621286214,d,68, weekly, physical-keyboard,57
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",76,1755621286360,1755621286459,u,85, weekly, physical-keyboard,58
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",77,1755621286506,1755621286632,c,67, weekly, physical-keyboard,59
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",78,1755621287275,1755621287391,k,75, weekly, physical-keyboard,60
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",79,1755621287565,1755621287689,s,83, weekly, physical-keyboard,61
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",80,1755621287729,1755621287894, ,32, weekly, physical-keyboard,62
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",81,1755621288129,1755621288271,s,83, weekly, physical-keyboard,63
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",82,1755621288976,1755621289132,w,87, weekly, physical-keyboard,64
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",83,1755621289149,1755621289251,i,73, weekly, physical-keyboard,65
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",84,1755621289429,1755621289505,m,77, weekly, physical-keyboard,66
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",85,1755621289601,1755621289682,m,77, weekly, physical-keyboard,67
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",86,1755621289765,1755621289868,i,73, weekly, physical-keyboard,68
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",87,1755621290030,1755621290120,n,78, weekly, physical-keyboard,69
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",88,1755621290381,1755621290530,g,71, weekly, physical-keyboard,70
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",89,1755621290605,1755621290781, ,32, weekly, physical-keyboard,71
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",90,1755621291421,1755621291518,i,73, weekly, physical-keyboard,72
6081728972120aa7f9685791,image-to-prompt,1,4,6,"A quiet lake surrounded by trees and grassy shores, with ducks swimming in water under bright blue sky with clouds.","[37,50];[52,80];[103,115]","[0,12];[13,32];[86,102]",91,1755621291593,1755621291709,n,78, weekly, physical-keyboard,73
